PULocationID,passenger_count,num
216,4,177
216,1,4934
216,2,1036
216,5,294
216,3,265
217,1,6291
217,2,1105
217,6,213
217,5,361
217,4,155
217,3,297
218,1,608
218,3,39
218,4,13
218,6,33
218,2,108
218,5,53
219,6,141
219,2,867
219,1,3769
219,3,243
219,5,281
219,4,111
220,5,68
220,3,81
220,4,34
220,1,1469
220,6,60
220,2,254
221,4,2
221,1,71
221,2,18
221,5,155
221,6,18
221,3,3
222,4,2
222,1,196
222,6,5
222,2,34
222,3,20
222,5,13
223,2,7107
223,3,1966
223,5,2624
223,4,938
223,6,1691
223,1,42087
224,3,9081
224,5,12674
224,1,192819
224,2,36269
224,4,4074
224,6,8196
225,2,1276
225,6,239
225,5,443
225,3,402
225,1,7597
225,4,189
226,3,5219
226,4,2366
226,6,5128
226,2,20591
226,5,7839
226,1,116539
227,4,18
227,3,46
227,6,48
227,1,886
227,5,54
227,2,147
228,2,1357
228,1,7469
228,4,156
228,5,446
228,3,379
228,6,370
229,5,86289
229,1,1280030
229,2,238871
229,6,52714
229,4,29126
229,3,64768
230,3,161679
230,1,2160899
230,4,90432
230,5,151871
230,6,88815
230,2,498994
231,3,73822
231,6,49096
231,5,80619
231,1,1203978
231,2,247296
231,4,35799
232,3,8375
232,6,4996
232,1,124273
232,5,8340
232,4,4706
232,2,27790
233,4,22924
233,1,883481
233,6,36821
233,3,48464
233,5,59313
233,2,166505
234,5,146276
234,6,89192
234,3,126370
234,4,57709
234,2,444886
234,1,2174352
235,6,53
235,1,1241
235,3,59
235,5,88
235,2,235
235,4,49
236,2,464054
236,1,2404350
236,3,126108
236,4,54682
236,6,99568
236,5,156516
237,2,513121
237,1,2659985
237,5,176343
237,3,135952
237,6,106320
237,4,59551
238,4,29802
238,6,54961
238,3,69555
238,1,1263058
238,2,241236
238,5,79345
239,5,109330
239,4,48182
239,3,102681
239,6,74304
239,1,1673929
239,2,347744
240,5,13
240,2,41
240,4,6
240,1,192
240,6,17
240,3,11
241,3,31
241,5,34
241,2,100
241,6,49
241,1,643
241,4,11
242,4,20
242,3,30
242,2,149
242,5,54
242,6,21
242,1,877
243,4,333
243,2,2619
243,3,774
243,5,872
243,6,689
243,1,13297
244,3,3490
244,1,68359
244,6,2940
244,2,11591
244,4,1508
244,5,4444
245,5,1
245,3,4
245,1,33
245,4,1
245,2,6
246,2,204438
246,5,60498
246,3,62623
246,1,946832
246,4,30955
246,6,39906
247,5,486
247,2,1830
247,1,13198
247,6,462
247,4,220
247,3,591
248,2,105
248,4,12
248,5,28
248,1,510
248,6,31
248,3,18
249,3,85029
249,2,301508
249,5,92596
249,6,55051
249,1,1378998
249,4,38351
250,3,29
250,6,34
250,1,786
250,4,15
250,2,114
250,5,81
251,5,3
251,4,1
251,3,3
251,2,10
251,1,61
252,5,27
252,1,510
252,6,12
252,3,10
252,4,14
252,2,100
253,5,13
253,2,58
253,1,173
253,6,6
253,4,3
253,3,14
254,5,27
254,6,19
254,4,12
254,1,458
254,3,26
254,2,78
255,3,5387
255,4,2611
255,5,5771
255,1,82708
255,6,3054
255,2,19960
256,5,4809
256,1,70843
256,2,15751
256,3,4485
256,6,2722
256,4,2077
257,4,41
257,3,139
257,5,159
257,2,439
257,6,111
257,1,2425
258,1,903
258,6,26
258,3,43
258,2,133
258,5,56
258,4,26
259,2,86
259,3,22
259,5,22
259,6,15
259,1,347
259,4,13
260,2,6962
260,4,826
260,6,1892
260,3,1750
260,5,3454
260,1,41005
261,4,18721
261,3,30734
261,1,388713
261,5,27788
261,2,90636
261,6,16965
262,4,18263
262,2,146681
262,3,41529
262,1,791283
262,6,35200
262,5,54824
263,6,49523
263,2,229763
263,3,63659
263,4,27487
263,1,1185308
263,5,81829
264,3,52919
264,4,29421
264,5,38508
264,1,1044458
264,2,199706
264,6,20946
265,4,1127
265,5,750
265,1,35441
265,6,487
265,3,1786
265,2,6789
